molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,bioactivity_class,group_type,MW,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,violates_mw,violates_logp,violates_hdonors,violates_hacceptors,ro5_violations
CHEMBL4062830,CCCN1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,QLQIHEIFJBGOFX-VWLOTQADSA-N,7.28,active,single_entry,575.1610000000003,5.364720000000005,1.0,7.0,71.08000000000001,7.0,True,True,False,False,2
CHEMBL5941317,C=CC(=O)N1CC(Nc2cncc(-c3cnc(Oc4cccc(Cl)c4)nc3)n2)C1,QLSMLJNFYPHELT-UHFFFAOYSA-N,6.44,active,single_entry,408.84900000000005,3.1880000000000015,1.0,7.0,93.13000000000001,6.0,False,False,False,False,0
CHEMBL4441606,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,QLXFJFOHLZOGEC-UHFFFAOYSA-N,8.295,active,nonzero_sd,518.6430000000003,4.181200000000002,2.0,8.0,107.37,10.0,True,False,False,False,1
CHEMBL5172587,CC(C)c1ncc(N2C[C@H](O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,QLZFYULSUWJNSF-YSHIBNCASA-N,6.6525,active,nonzero_sd,481.5760000000003,3.155400000000002,3.0,9.0,110.53,5.0,False,False,False,False,0
CHEMBL5991370,CN(C/C=C/C(=O)N1CCC[C@@H](N(C)c2cnc(C(N)=O)c(Nc3ccc(C(=O)N4CCOCC4)cc3)n2)C1)C1CC1,QLZTUVXTBKYYCH-JIBKAZCMSA-N,5.26,intermediate,single_entry,576.7020000000001,1.8691000000000015,2.0,9.0,137.23000000000002,10.0,True,False,False,False,1
CHEMBL542729,COc1ccc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2c1.Cl,QMAUSGZWIZJPFT-UHFFFAOYSA-N,7.0,active,single_entry,377.82800000000015,3.8296000000000032,1.0,7.0,74.73000000000002,6.0,False,False,False,False,0
CHEMBL469355,NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccc(F)c(Cl)c4)c3s2)cc1,QMAYPCNOXVCKRW-UHFFFAOYSA-N,8.05,active,single_entry,450.9080000000001,4.013400000000002,3.0,8.0,122.89,5.0,False,False,False,False,0
CHEMBL4439837,Cn1c(=O)c2[nH]c(SC/C(=N/O)c3ccc(Br)cc3)nc2n(C)c1=O,QMERXYUTIZNTAX-GRSHGNNSSA-N,6.35,active,single_entry,424.28000000000014,1.6934,2.0,8.0,105.26999999999998,4.0,False,False,False,False,0
CHEMBL383760,CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,QMGNNNRCEMYKNG-GOSISDBHSA-N,7.3,active,single_entry,443.91000000000014,3.884900000000002,2.0,6.0,79.38000000000001,6.0,False,False,False,False,0
CHEMBL5979912,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2cc(C3CCCOC3)ccc21,QMLRIBRBBXWARG-UHFFFAOYSA-N,7.45,active,nonzero_sd,471.5610000000003,3.8324000000000025,2.0,6.0,105.39,5.0,False,False,False,False,0
